Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE"
People,Ancestry,Welsh,2142,"(+/- 852 )",1803,"(+/- 843 )",1123,"(+/- 736 )",470,"(+/- 294 )",28,"(+/- 47 )",315,"(+/- 246 )",899,"(+/- 433 )",803,"(+/- 411 )",1268,"(+/- 716 )",1459,"(+/- 580 )",168,"(+/- 145 )",1577,"(+/- 681 )",900,"(+/- 392 )",495,"(+/- 249 )",131,"(+/- 148 )",437,"(+/- 318 )",1044,"(+/- 468 )",2111,"(+/- 821 )",6714,"(+/- 1415 )",4749,"(+/- 1384 )",7715,"(+/- 1764 )",14526,"(+/- 2220 )",7204,"(+/- 1354 )",6767,"(+/- 1525 )",4556,"(+/- 1044 )",3212,"(+/- 929 )",5251,"(+/- 1217 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",10312,"(+/- 3473 )",20661,"(+/- 5459 )",9719,"(+/- 4080 )",39678,"(+/- 5637 )",148416,"(+/- 9908 )",13078,"(+/- 3720 )",12639,"(+/- 2874 )",108431,"(+/- 9254 )",149721,"(+/- 10891 )",9476,"(+/- 3024 )",9059,"(+/- 2924 )",7129,"(+/- 3602 )",22862,"(+/- 4894 )",12479,"(+/- 2639 )",20216,"(+/- 4466 )",84585,"(+/- 9004 )",27992,"(+/- 4116 )",17469,"(+/- 4140 )",7157,"(+/- 2145 )",9000,"(+/- 2873 )",1691,"(+/- 646 )",2828,"(+/- 1063 )",1214,"(+/- 525 )",2823,"(+/- 1136 )",8421,"(+/- 3135 )",4930,"(+/- 1804 )",2981,"(+/- 1341 )"
People,"Veteran Status","Civilian population 18 years and over",562584,"(+/- 6278 )",550649,"(+/- 9128 )",582903,"(+/- 9765 )",568584,"(+/- 10157 )",594688,"(+/- 14141 )",572514,"(+/- 12884 )",546058,"(+/- 16205 )",615845,"(+/- 13460 )",564034,"(+/- 13412 )",590333,"(+/- 15019 )",571925,"(+/- 7628 )",638704,"(+/- 15092 )",600066,"(+/- 15327 )",555261,"(+/- 13259 )",536567,"(+/- 12404 )",580298,"(+/- 11475 )",558756,"(+/- 5714 )",551838,"(+/- 4949 )",572630,"(+/- 4709 )",586004,"(+/- 4710 )",542151,"(+/- 4385 )",548421,"(+/- 3772 )",553000,"(+/- 3006 )",554641,"(+/- 2825 )",567285,"(+/- 2182 )",560763,"(+/- 5358 )",575938,"(+/- 6510 )"
People,"Veteran Status","Civilian veterans",29193,"(+/- 2515 )",25737,"(+/- 2967 )",23199,"(+/- 2255 )",20566,"(+/- 2497 )",16615,"(+/- 2253 )",13399,"(+/- 1703 )",7699,"(+/- 1636 )",12200,"(+/- 1886 )",9405,"(+/- 1729 )",9842,"(+/- 1973 )",16561,"(+/- 1644 )",14591,"(+/- 2231 )",8902,"(+/- 1719 )",11291,"(+/- 1465 )",11109,"(+/- 2261 )",19581,"(+/- 2582 )",19725,"(+/- 2324 )",28478,"(+/- 2582 )",39866,"(+/- 3051 )",35738,"(+/- 2742 )",48530,"(+/- 2866 )",39325,"(+/- 2639 )",44330,"(+/- 2578 )",39316,"(+/- 2397 )",30455,"(+/- 2350 )",35039,"(+/- 2405 )",44363,"(+/- 2703 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",706630,"(+/- 5352 )",695551,"(+/- 9034 )",719566,"(+/- 11846 )",724858,"(+/- 12469 )",752339,"(+/- 18969 )",709693,"(+/- 18766 )",693435,"(+/- 21416 )",771534,"(+/- 19593 )",715601,"(+/- 19756 )",730015,"(+/- 20330 )",732407,"(+/- 11097 )",720923,"(+/- 18337 )",745376,"(+/- 19128 )",684230,"(+/- 17553 )",735964,"(+/- 17070 )",731449,"(+/- 13818 )",729038,"(+/- 6822 )",701545,"(+/- 6165 )",683724,"(+/- 6246 )",716408,"(+/- 6098 )",658959,"(+/- 5724 )",676424,"(+/- 5681 )",675812,"(+/- 3886 )",691961,"(+/- 4726 )",707639,"(+/- 3515 )",697755,"(+/- 5518 )",703967,"(+/- 6535 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",68410,"(+/- 4889 )",69226,"(+/- 4826 )",63487,"(+/- 4039 )",62011,"(+/- 4338 )",82140,"(+/- 4353 )",66174,"(+/- 4367 )",61968,"(+/- 6436 )",84415,"(+/- 5145 )",63264,"(+/- 4354 )",61046,"(+/- 6383 )",72329,"(+/- 4077 )",55869,"(+/- 5354 )",103421,"(+/- 7459 )",85842,"(+/- 5964 )",119783,"(+/- 7651 )",85937,"(+/- 5875 )",60285,"(+/- 3468 )",75567,"(+/- 4807 )",96807,"(+/- 4549 )",91176,"(+/- 4775 )",108959,"(+/- 6503 )",102016,"(+/- 4000 )",106686,"(+/- 4760 )",101616,"(+/- 5347 )",100832,"(+/- 5025 )",100028,"(+/- 5665 )",85492,"(+/- 4030 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",149692,"(+/- 5705 )",147634,"(+/- 6313 )",142076,"(+/- 6904 )",161418,"(+/- 5532 )",163943,"(+/- 7584 )",141324,"(+/- 8659 )",152414,"(+/- 9612 )",160379,"(+/- 9622 )",155687,"(+/- 9145 )",142345,"(+/- 9681 )",164691,"(+/- 5702 )",86435,"(+/- 6949 )",151212,"(+/- 8658 )",141114,"(+/- 9476 )",202287,"(+/- 8570 )",159167,"(+/- 6307 )",177543,"(+/- 4014 )",161494,"(+/- 3238 )",125817,"(+/- 3384 )",137796,"(+/- 2949 )",138616,"(+/- 2980 )",139078,"(+/- 2522 )",133850,"(+/- 2023 )",145800,"(+/- 1996 )",147148,"(+/- 1360 )",141409,"(+/- 3871 )",142646,"(+/- 4207 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",4020,"(+/- 1054 )",5291,"(+/- 1591 )",2239,"(+/- 696 )",3470,"(+/- 1218 )",4298,"(+/- 1189 )",2755,"(+/- 851 )",2713,"(+/- 1224 )",5031,"(+/- 1579 )",4003,"(+/- 1393 )",2230,"(+/- 978 )",3627,"(+/- 1029 )",1947,"(+/- 1161 )",10080,"(+/- 3032 )",6506,"(+/- 2281 )",11364,"(+/- 1982 )",6546,"(+/- 1506 )",3585,"(+/- 1066 )",4759,"(+/- 1259 )",5895,"(+/- 1349 )",6014,"(+/- 1304 )",8541,"(+/- 1821 )",9024,"(+/- 1451 )",9903,"(+/- 1361 )",8526,"(+/- 1717 )",7337,"(+/- 1912 )",8108,"(+/- 1466 )",5247,"(+/- 1045 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",431644,"(+/- 5978 )",436432,"(+/- 8348 )",425757,"(+/- 8684 )",443309,"(+/- 9597 )",471703,"(+/- 14241 )",447633,"(+/- 12569 )",455025,"(+/- 15329 )",494408,"(+/- 12270 )",449682,"(+/- 11661 )",471248,"(+/- 15138 )",444788,"(+/- 7315 )",517279,"(+/- 14830 )",498439,"(+/- 15064 )",441816,"(+/- 12901 )",459361,"(+/- 12002 )",441505,"(+/- 10310 )",433814,"(+/- 6494 )",429346,"(+/- 5009 )",413140,"(+/- 5219 )",454532,"(+/- 4224 )",394058,"(+/- 4417 )",410664,"(+/- 4028 )",411653,"(+/- 3102 )",425340,"(+/- 2909 )",437598,"(+/- 2368 )",437241,"(+/- 5528 )",421945,"(+/- 6645 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",32438,"(+/- 3735 )",29347,"(+/- 3032 )",23360,"(+/- 2345 )",28073,"(+/- 2955 )",38632,"(+/- 3617 )",26574,"(+/- 2897 )",26201,"(+/- 3117 )",37781,"(+/- 3539 )",25801,"(+/- 2848 )",22688,"(+/- 3914 )",29995,"(+/- 2747 )",21659,"(+/- 2901 )",53611,"(+/- 5575 )",39549,"(+/- 3797 )",71888,"(+/- 6365 )",37537,"(+/- 3838 )",26924,"(+/- 2599 )",39537,"(+/- 3791 )",45527,"(+/- 3467 )",48966,"(+/- 4255 )",55347,"(+/- 4275 )",53069,"(+/- 3082 )",55922,"(+/- 3222 )",54846,"(+/- 3938 )",55927,"(+/- 3909 )",52757,"(+/- 3977 )",41118,"(+/- 3059 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",125294,"(+/- 4706 )",111485,"(+/- 4502 )",151733,"(+/- 6204 )",120131,"(+/- 4166 )",116693,"(+/- 3733 )",120736,"(+/- 4569 )",85996,"(+/- 5157 )",116747,"(+/- 5106 )",110232,"(+/- 5174 )",116422,"(+/- 7062 )",122928,"(+/- 3209 )",117209,"(+/- 6532 )",95725,"(+/- 5050 )",101300,"(+/- 5182 )",74316,"(+/- 3920 )",130777,"(+/- 6189 )",117681,"(+/- 4039 )",110705,"(+/- 2930 )",144767,"(+/- 3138 )",124080,"(+/- 2652 )",126285,"(+/- 2153 )",126682,"(+/- 1748 )",130309,"(+/- 1723 )",120821,"(+/- 1617 )",122893,"(+/- 1371 )",119105,"(+/- 3179 )",139376,"(+/- 3654 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",31952,"(+/- 3014 )",34588,"(+/- 2886 )",37888,"(+/- 2938 )",30468,"(+/- 2960 )",39210,"(+/- 2533 )",36845,"(+/- 2975 )",33054,"(+/- 4488 )",41603,"(+/- 3188 )",33460,"(+/- 3082 )",36128,"(+/- 4901 )",38707,"(+/- 2838 )",32263,"(+/- 4111 )",39730,"(+/- 3712 )",39787,"(+/- 3748 )",36531,"(+/- 3129 )",41854,"(+/- 3956 )",29776,"(+/- 2603 )",31271,"(+/- 2079 )",45385,"(+/- 2612 )",36196,"(+/- 2567 )",45071,"(+/- 2495 )",39923,"(+/- 2322 )",40861,"(+/- 2238 )",38244,"(+/- 2095 )",37568,"(+/- 2676 )",39163,"(+/- 2811 )",39127,"(+/- 2667 )"
People,"Residence 1 Year Ago","Population 1 year and over",707312,"(+/- 4954 )",692459,"(+/- 9011 )",718933,"(+/- 11346 )",720639,"(+/- 12357 )",751769,"(+/- 18501 )",707263,"(+/- 18476 )",690274,"(+/- 21483 )",765455,"(+/- 19455 )",711206,"(+/- 19290 )",722209,"(+/- 19937 )",729318,"(+/- 10807 )",717750,"(+/- 18712 )",743998,"(+/- 18800 )",688748,"(+/- 17294 )",729045,"(+/- 16903 )",729173,"(+/- 13765 )",729283,"(+/- 6918 )",711873,"(+/- 5931 )",695003,"(+/- 5539 )",719652,"(+/- 6376 )",688069,"(+/- 4844 )",680526,"(+/- 5715 )",681726,"(+/- 4054 )",694604,"(+/- 4426 )",706625,"(+/- 3329 )",693980,"(+/- 5776 )",714028,"(+/- 6470 )"
People,"Residence 1 Year Ago","Same house",654006,"(+/- 8254 )",648964,"(+/- 10307 )",666611,"(+/- 11039 )",667980,"(+/- 11876 )",694340,"(+/- 19402 )",648047,"(+/- 18425 )",618026,"(+/- 21262 )",699516,"(+/- 18835 )",641994,"(+/- 19346 )",609948,"(+/- 19548 )",677470,"(+/- 13187 )",577251,"(+/- 19180 )",656029,"(+/- 18410 )",635702,"(+/- 17901 )",665257,"(+/- 16142 )",663357,"(+/- 15215 )",655717,"(+/- 10833 )",649440,"(+/- 9131 )",627760,"(+/- 8452 )",614055,"(+/- 8503 )",595681,"(+/- 7513 )",599748,"(+/- 7655 )",586407,"(+/- 5370 )",594294,"(+/- 7916 )",607909,"(+/- 8384 )",608777,"(+/- 9259 )",649094,"(+/- 8624 )"
People,"Residence 1 Year Ago","Different house in the U.S.",50594,"(+/- 6505 )",41913,"(+/- 6455 )",47966,"(+/- 5077 )",50942,"(+/- 6159 )",52586,"(+/- 7470 )",51725,"(+/- 7161 )",66531,"(+/- 6932 )",62725,"(+/- 6513 )",64381,"(+/- 6390 )",99245,"(+/- 7947 )",46113,"(+/- 7706 )",125183,"(+/- 8707 )",79768,"(+/- 8229 )",45065,"(+/- 4995 )",57448,"(+/- 6673 )",58212,"(+/- 7521 )",71705,"(+/- 7668 )",60053,"(+/- 7403 )",63392,"(+/- 5317 )",102465,"(+/- 7696 )",88247,"(+/- 5633 )",78000,"(+/- 5172 )",90936,"(+/- 5208 )",95483,"(+/- 6911 )",95563,"(+/- 8523 )",82652,"(+/- 8080 )",64285,"(+/- 5195 )"
People,"Residence 1 Year Ago","Same county",32646,"(+/- 4362 )",30176,"(+/- 5874 )",29181,"(+/- 4138 )",28934,"(+/- 4532 )",32831,"(+/- 6831 )",38116,"(+/- 6623 )",36560,"(+/- 5212 )",40333,"(+/- 5271 )",44353,"(+/- 5272 )",65279,"(+/- 7026 )",34379,"(+/- 6859 )",63918,"(+/- 6649 )",44749,"(+/- 5380 )",30755,"(+/- 5052 )",37541,"(+/- 6051 )",30802,"(+/- 4802 )",43321,"(+/- 6385 )",29049,"(+/- 5019 )",30794,"(+/- 3829 )",53388,"(+/- 6106 )",46296,"(+/- 4587 )",50144,"(+/- 5252 )",49007,"(+/- 4466 )",62759,"(+/- 6330 )",66154,"(+/- 7443 )",56251,"(+/- 6741 )",39871,"(+/- 4422 )"
People,"Residence 1 Year Ago","Different county",17948,"(+/- 4621 )",11737,"(+/- 2319 )",18785,"(+/- 3345 )",22008,"(+/- 4685 )",19755,"(+/- 3751 )",13609,"(+/- 2951 )",29971,"(+/- 3827 )",22392,"(+/- 3552 )",20028,"(+/- 4122 )",33966,"(+/- 4393 )",11734,"(+/- 2906 )",61265,"(+/- 6538 )",35019,"(+/- 5700 )",14310,"(+/- 2200 )",19907,"(+/- 3417 )",27410,"(+/- 5071 )",28384,"(+/- 4227 )",31004,"(+/- 4426 )",32598,"(+/- 3896 )",49077,"(+/- 5548 )",41951,"(+/- 3952 )",27856,"(+/- 3430 )",41929,"(+/- 4165 )",32724,"(+/- 3829 )",29409,"(+/- 4746 )",26401,"(+/- 3948 )",24414,"(+/- 2542 )"
People,"Residence 1 Year Ago","Same state",13025,"(+/- 4458 )",9142,"(+/- 2127 )",14820,"(+/- 2963 )",18059,"(+/- 4854 )",15870,"(+/- 3605 )",9332,"(+/- 2349 )",18603,"(+/- 2830 )",14065,"(+/- 2875 )",11521,"(+/- 3542 )",11290,"(+/- 2655 )",9513,"(+/- 2586 )",25469,"(+/- 3150 )",19960,"(+/- 4082 )",10301,"(+/- 1638 )",15851,"(+/- 3120 )",20689,"(+/- 4454 )",21944,"(+/- 4185 )",19668,"(+/- 3468 )",23905,"(+/- 3378 )",35037,"(+/- 5053 )",30780,"(+/- 3022 )",20517,"(+/- 2900 )",24302,"(+/- 2865 )",22391,"(+/- 3143 )",15740,"(+/- 3114 )",20649,"(+/- 3565 )",18342,"(+/- 2106 )"
People,"Residence 1 Year Ago","Different state",4923,"(+/- 1556 )",2595,"(+/- 884 )",3965,"(+/- 1136 )",3949,"(+/- 1235 )",3885,"(+/- 1083 )",4277,"(+/- 1554 )",11368,"(+/- 2067 )",8327,"(+/- 1885 )",8507,"(+/- 1946 )",22676,"(+/- 3770 )",2221,"(+/- 1026 )",35796,"(+/- 5312 )",15059,"(+/- 3239 )",4009,"(+/- 1443 )",4056,"(+/- 1215 )",6721,"(+/- 1817 )",6440,"(+/- 1585 )",11336,"(+/- 2942 )",8693,"(+/- 2163 )",14040,"(+/- 2700 )",11171,"(+/- 2780 )",7339,"(+/- 1542 )",17627,"(+/- 2967 )",10333,"(+/- 2181 )",13669,"(+/- 3145 )",5752,"(+/- 1621 )",6072,"(+/- 1480 )"
People,"Residence 1 Year Ago",Abroad,2712,"(+/- 978 )",1582,"(+/- 772 )",4356,"(+/- 1554 )",1717,"(+/- 658 )",4843,"(+/- 1669 )",7491,"(+/- 1914 )",5717,"(+/- 1821 )",3214,"(+/- 1022 )",4831,"(+/- 2003 )",13016,"(+/- 3560 )",5735,"(+/- 2210 )",15316,"(+/- 4618 )",8201,"(+/- 2197 )",7981,"(+/- 3639 )",6340,"(+/- 2255 )",7604,"(+/- 2644 )",1861,"(+/- 757 )",2380,"(+/- 1322 )",3851,"(+/- 1688 )",3132,"(+/- 1328 )",4141,"(+/- 1164 )",2778,"(+/- 1079 )",4383,"(+/- 896 )",4827,"(+/- 1774 )",3153,"(+/- 1145 )",2551,"(+/- 1034 )",649,"(+/- 416 )"
Workers,"Employment Status","Population 16 years and over",581334,"(+/- 6393 )",571307,"(+/- 8851 )",599540,"(+/- 9883 )",588192,"(+/- 11070 )",616423,"(+/- 15239 )",587799,"(+/- 13385 )",563258,"(+/- 16776 )",630859,"(+/- 14254 )",578822,"(+/- 14123 )",601940,"(+/- 15398 )",592632,"(+/- 8133 )",646834,"(+/- 15529 )",614076,"(+/- 15799 )",570470,"(+/- 13405 )",561932,"(+/- 12973 )",599784,"(+/- 12052 )",579848,"(+/- 6010 )",578154,"(+/- 5443 )",590841,"(+/- 5052 )",604657,"(+/- 5038 )",573209,"(+/- 4291 )",566056,"(+/- 4342 )",569023,"(+/- 3288 )",572857,"(+/- 3305 )",585085,"(+/- 2870 )",576900,"(+/- 5296 )",593729,"(+/- 6349 )"
Workers,"Employment Status","In labor force",375470,"(+/- 7547 )",388698,"(+/- 8683 )",381484,"(+/- 9116 )",391689,"(+/- 9312 )",386927,"(+/- 12319 )",368615,"(+/- 10916 )",368138,"(+/- 10652 )",385839,"(+/- 11312 )",374814,"(+/- 8779 )",410114,"(+/- 14245 )",362790,"(+/- 8763 )",462440,"(+/- 14207 )",402307,"(+/- 13497 )",371212,"(+/- 11743 )",326023,"(+/- 10482 )",372009,"(+/- 9356 )",381957,"(+/- 7404 )",370601,"(+/- 5787 )",354838,"(+/- 7081 )",392229,"(+/- 6575 )",329536,"(+/- 6587 )",329589,"(+/- 6159 )",327964,"(+/- 5310 )",359954,"(+/- 5376 )",374265,"(+/- 5370 )",361188,"(+/- 6695 )",374529,"(+/- 7880 )"
Workers,"Employment Status","Civilian labor force",374669,"(+/- 7452 )",388165,"(+/- 8695 )",381352,"(+/- 9112 )",391512,"(+/- 9317 )",386694,"(+/- 12317 )",368285,"(+/- 10968 )",367936,"(+/- 10601 )",385399,"(+/- 11304 )",374434,"(+/- 8811 )",410114,"(+/- 14245 )",362206,"(+/- 8792 )",462130,"(+/- 14138 )",402149,"(+/- 13508 )",371047,"(+/- 11708 )",325753,"(+/- 10506 )",371959,"(+/- 9368 )",381835,"(+/- 7394 )",365938,"(+/- 5829 )",353776,"(+/- 7126 )",390839,"(+/- 6530 )",315765,"(+/- 7080 )",329096,"(+/- 6148 )",327857,"(+/- 5298 )",358807,"(+/- 5351 )",374153,"(+/- 5364 )",360590,"(+/- 6713 )",373734,"(+/- 7917 )"
Workers,"Employment Status",Employed,361475,"(+/- 7690 )",378000,"(+/- 8727 )",368920,"(+/- 9003 )",377304,"(+/- 9414 )",362775,"(+/- 12350 )",354642,"(+/- 10582 )",350257,"(+/- 10523 )",367352,"(+/- 10233 )",357232,"(+/- 8497 )",395345,"(+/- 13807 )",348004,"(+/- 8541 )",449117,"(+/- 14206 )",371482,"(+/- 12926 )",353265,"(+/- 11181 )",291354,"(+/- 9862 )",350760,"(+/- 9741 )",363176,"(+/- 7722 )",355080,"(+/- 6061 )",340626,"(+/- 6803 )",374499,"(+/- 6353 )",301994,"(+/- 7015 )",314831,"(+/- 6124 )",313411,"(+/- 4951 )",344883,"(+/- 5288 )",356893,"(+/- 5688 )",346938,"(+/- 6867 )",361414,"(+/- 7939 )"
Workers,"Employment Status",Unemployed,13194,"(+/- 2205 )",10165,"(+/- 1460 )",12432,"(+/- 2079 )",14208,"(+/- 2271 )",23919,"(+/- 2867 )",13643,"(+/- 1620 )",17679,"(+/- 1997 )",18047,"(+/- 2837 )",17202,"(+/- 2340 )",14769,"(+/- 2465 )",14202,"(+/- 2090 )",13013,"(+/- 2189 )",30667,"(+/- 3915 )",17782,"(+/- 2821 )",34399,"(+/- 4567 )",21199,"(+/- 2600 )",18659,"(+/- 2800 )",10858,"(+/- 1917 )",13150,"(+/- 1809 )",16340,"(+/- 2292 )",13771,"(+/- 1803 )",14265,"(+/- 1932 )",14446,"(+/- 1619 )",13924,"(+/- 2080 )",17260,"(+/- 2224 )",13652,"(+/- 1817 )",12320,"(+/- 2094 )"
Workers,"Employment Status","Armed Forces",801,"(+/- 630 )",533,"(+/- 388 )",132,"(+/- 171 )",177,"(+/- 225 )",233,"(+/- 257 )",330,"(+/- 303 )",202,"(+/- 228 )",440,"(+/- 434 )",380,"(+/- 376 )",0,"(+/- 207 )",584,"(+/- 239 )",310,"(+/- 510 )",158,"(+/- 167 )",165,"(+/- 262 )",270,"(+/- 259 )",50,"(+/- 83 )",122,"(+/- 141 )",4663,"(+/- 1161 )",1062,"(+/- 580 )",1390,"(+/- 868 )",13771,"(+/- 1927 )",493,"(+/- 293 )",107,"(+/- 148 )",1147,"(+/- 582 )",112,"(+/- 141 )",598,"(+/- 499 )",795,"(+/- 425 )"
Workers,"Employment Status","Not in labor force",205864,"(+/- 6909 )",182609,"(+/- 6900 )",218056,"(+/- 8414 )",196503,"(+/- 6791 )",229496,"(+/- 7716 )",219184,"(+/- 8727 )",195120,"(+/- 10254 )",245020,"(+/- 8528 )",204008,"(+/- 8954 )",191826,"(+/- 9704 )",229842,"(+/- 6341 )",184394,"(+/- 8289 )",211769,"(+/- 8715 )",199258,"(+/- 7343 )",235909,"(+/- 9269 )",227775,"(+/- 8980 )",197891,"(+/- 5725 )",207553,"(+/- 5838 )",236003,"(+/- 6387 )",212428,"(+/- 6536 )",243673,"(+/- 6685 )",236467,"(+/- 5139 )",241059,"(+/- 5362 )",212903,"(+/- 5891 )",210820,"(+/- 5079 )",215712,"(+/- 5528 )",219200,"(+/- 6200 )"
Workers,"Employment Status","Civilian labor force",374669,"(+/- 7452 )",388165,"(+/- 8695 )",381352,"(+/- 9112 )",391512,"(+/- 9317 )",386694,"(+/- 12317 )",368285,"(+/- 10968 )",367936,"(+/- 10601 )",385399,"(+/- 11304 )",374434,"(+/- 8811 )",410114,"(+/- 14245 )",362206,"(+/- 8792 )",462130,"(+/- 14138 )",402149,"(+/- 13508 )",371047,"(+/- 11708 )",325753,"(+/- 10506 )",371959,"(+/- 9368 )",381835,"(+/- 7394 )",365938,"(+/- 5829 )",353776,"(+/- 7126 )",390839,"(+/- 6530 )",315765,"(+/- 7080 )",329096,"(+/- 6148 )",327857,"(+/- 5298 )",358807,"(+/- 5351 )",374153,"(+/- 5364 )",360590,"(+/- 6713 )",373734,"(+/- 7917 )"
Workers,"Employment Status","Unemployment Rate",3.5,"(+/- 0.6 )",2.6,"(+/- 0.4 )",3.3,"(+/- 0.5 )",3.6,"(+/- 0.6 )",6.2,"(+/- 0.7 )",3.7,"(+/- 0.4 )",4.8,"(+/- 0.5 )",4.7,"(+/- 0.7 )",4.6,"(+/- 0.6 )",3.6,"(+/- 0.6 )",3.9,"(+/- 0.6 )",2.8,"(+/- 0.5 )",7.6,"(+/- 0.9 )",4.8,"(+/- 0.7 )",10.6,"(+/- 1.3 )",5.7,"(+/- 0.7 )",4.9,"(+/- 0.7 )",3.0,"(+/- 0.5 )",3.7,"(+/- 0.5 )",4.2,"(+/- 0.6 )",4.4,"(+/- 0.6 )",4.3,"(+/- 0.6 )",4.4,"(+/- 0.5 )",3.9,"(+/- 0.6 )",4.6,"(+/- 0.6 )",3.8,"(+/- 0.5 )",3.3,"(+/- 0.6 )"
Workers,"Commuting to Work","Workers 16 years and over",356063,"(+/- 7639 )",372225,"(+/- 8837 )",363489,"(+/- 8751 )",370654,"(+/- 9543 )",355341,"(+/- 12478 )",348409,"(+/- 10318 )",343047,"(+/- 10549 )",360097,"(+/- 9925 )",348295,"(+/- 8243 )",387228,"(+/- 13392 )",340145,"(+/- 8371 )",439756,"(+/- 14453 )",363163,"(+/- 12455 )",344030,"(+/- 11459 )",281593,"(+/- 9671 )",340059,"(+/- 9290 )",356345,"(+/- 7671 )",352076,"(+/- 6058 )",334198,"(+/- 6646 )",370404,"(+/- 6589 )",308557,"(+/- 6587 )",306873,"(+/- 6308 )",307537,"(+/- 5066 )",340173,"(+/- 5387 )",348568,"(+/- 5204 )",339760,"(+/- 6750 )",356824,"(+/- 7803 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",288758,"(+/- 6861 )",292802,"(+/- 8074 )",246811,"(+/- 7437 )",248636,"(+/- 6989 )",167584,"(+/- 8244 )",115257,"(+/- 5728 )",45621,"(+/- 3509 )",82388,"(+/- 4484 )",59615,"(+/- 4506 )",42972,"(+/- 3683 )",151748,"(+/- 6159 )",29337,"(+/- 4665 )",31788,"(+/- 3620 )",78786,"(+/- 5574 )",42622,"(+/- 4595 )",153989,"(+/- 6698 )",240226,"(+/- 7229 )",265690,"(+/- 6283 )",254921,"(+/- 7104 )",283721,"(+/- 7215 )",246319,"(+/- 6416 )",248646,"(+/- 6200 )",236131,"(+/- 4456 )",270465,"(+/- 6233 )",283816,"(+/- 5792 )",266426,"(+/- 6424 )",303367,"(+/- 7313 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",28447,"(+/- 3672 )",25452,"(+/- 3102 )",24376,"(+/- 3551 )",27464,"(+/- 3307 )",20038,"(+/- 2651 )",27536,"(+/- 3326 )",11658,"(+/- 1951 )",15351,"(+/- 2283 )",13097,"(+/- 2273 )",11193,"(+/- 2195 )",24481,"(+/- 3042 )",7815,"(+/- 1615 )",4139,"(+/- 1323 )",13940,"(+/- 2204 )",8239,"(+/- 2141 )",24220,"(+/- 3145 )",29734,"(+/- 3019 )",26849,"(+/- 2418 )",28185,"(+/- 3051 )",31970,"(+/- 3730 )",26756,"(+/- 2733 )",27327,"(+/- 3018 )",26513,"(+/- 2506 )",28421,"(+/- 3528 )",25570,"(+/- 2809 )",28341,"(+/- 3281 )",24004,"(+/- 2192 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",16124,"(+/- 2340 )",33881,"(+/- 3447 )",59180,"(+/- 4003 )",62363,"(+/- 3840 )",141461,"(+/- 7128 )",160016,"(+/- 7102 )",208468,"(+/- 8758 )",215244,"(+/- 8615 )",228233,"(+/- 7468 )",203615,"(+/- 10803 )",130450,"(+/- 7123 )",241843,"(+/- 10658 )",255208,"(+/- 11006 )",205035,"(+/- 9265 )",192173,"(+/- 8629 )",125139,"(+/- 5790 )",46854,"(+/- 4070 )",23445,"(+/- 2733 )",7807,"(+/- 1557 )",14665,"(+/- 2333 )",1910,"(+/- 794 )",3803,"(+/- 1219 )",5678,"(+/- 1302 )",7520,"(+/- 1545 )",8972,"(+/- 1649 )",14815,"(+/- 2291 )",1806,"(+/- 835 )"
